x,y,z,label
-0.032,-0.152,1.065,0
-0.047,-0.106,1.287,0
-0.044,-0.181,1.028,0
-0.036,-0.129,1.236,0
-0.031,-0.13,1.083,0
-0.035,-0.116,1.193,0
-0.049,-0.108,1.192,0
-0.035,-0.116,1.236,0
-0.032,-0.195,1.154,0
-0.046,-0.112,1.239,0
-0.039,-0.188,1.197,0
-0.038,-0.123,1.202,0
-0.034,-0.178,1.076,0
-0.05,-0.192,1.177,0
-0.049,-0.133,1.166,0
-0.036,-0.104,1.247,0
-0.04,-0.147,1.274,0
-0.045,-0.193,1.064,0
-0.042,-0.15,1.111,0
-0.049,-0.17,1.19,0
-0.038,-0.141,1.136,0
-0.04,-0.101,1.106,0
-0.039,-0.118,1.158,0
-0.04,-0.136,1.074,0
-0.035,-0.118,1.295,0
-0.037,-0.124,1.06,0
-0.042,-0.121,1.113,0
-0.04,-0.121,1.095,0
-0.032,-0.129,1.168,0
-0.04,-0.138,1.114,0
-0.032,-0.131,1.046,0
-0.043,-0.193,1.238,0
-0.049,-0.154,1.162,0
-0.037,-0.109,1.099,0
-0.044,-0.176,1.194,0
-0.044,-0.187,1.183,0
-0.031,-0.155,1.265,0
-0.04,-0.153,1.151,0
-0.03,-0.169,1.074,0
-0.044,-0.155,1.071,0
-0.037,-0.126,1.297,0
-0.031,-0.116,1.092,0
-0.034,-0.167,1.03,0
-0.047,-0.182,1.137,0
-0.042,-0.177,1.055,0
-0.039,-0.112,1.242,0
-0.043,-0.132,1.237,0
-0.039,-0.103,1.133,0
-0.044,-0.121,1.149,0
-0.035,-0.19,1.076,0
-0.035,-0.101,1.064,0
-0.047,-0.155,1.094,0
-0.044,-0.101,1.073,0
-0.037,-0.147,1.269,0
-0.034,-0.125,1.226,0
-0.04,-0.112,1.17,0
-0.041,-0.107,1.153,0
-0.05,-0.186,1.124,0
-0.038,-0.199,1.093,0
-0.032,-0.196,1.084,0
-0.045,-0.13,1.036,0
-0.032,-0.118,1.263,0
-0.049,-0.109,1.023,0
-0.046,-0.184,1.22,0
-0.041,-0.197,1.104,0
-0.038,-0.145,1.007,0
-0.031,-0.122,1.192,0
-0.043,-0.173,1.039,0
-0.037,-0.137,1.133,0
-0.03,-0.169,1.25,0
-0.038,-0.166,1.047,0
-0.045,-0.123,1.092,0
-0.041,-0.125,1.116,0
-0.037,-0.117,1.128,0
-0.031,-0.116,1.044,0
-0.034,-0.106,1.248,0
-0.044,-0.13,1.104,0
-0.043,-0.177,1.174,0
-0.049,-0.149,1.291,0
-0.033,-0.158,1.249,0
-0.037,-0.163,1.287,0
-0.042,-0.185,1.294,0
-0.032,-0.157,1.269,0
-0.042,-0.165,1.231,0
-0.049,-0.103,1.054,0
-0.033,-0.107,1.179,0
-0.043,-0.16,1.138,0
-0.043,-0.106,1.019,0
-0.038,-0.12,1.011,0
-0.039,-0.148,1.256,0
-0.04,-0.173,1.138,0
-0.035,-0.196,1.165,0
-0.039,-0.115,1.269,0
-0.034,-0.185,1.249,0
-0.038,-0.135,1.183,0
-0.034,-0.142,1.263,0
-0.04,-0.154,1.122,0
-0.041,-0.17,1.222,0
-0.04,-0.13,1.23,0
-0.031,-0.109,1.099,0
-0.046,-0.13,1.044,0
-0.047,-0.193,1.134,0
-0.038,-0.161,1.084,0
-0.039,-0.127,1.282,0
-0.049,-0.194,1.165,0
-0.042,-0.171,1.113,0
-0.005,-0.371,1.679,1
-0.042,-0.143,1.222,0
-0.047,-0.189,1.175,0
-0.033,-0.186,1.19,0
-0.045,-0.135,1.142,0
-0.035,-0.148,1.231,0
-0.042,-0.157,1.078,0
-0.031,-0.159,1.241,0
-0.041,-0.189,1.086,0
-0.033,-0.112,1.19,0
-0.032,-0.146,1.134,0
-0.046,-0.149,1.155,0
-0.034,-0.124,1.004,0
-0.045,-0.167,1.031,0
-0.044,-0.108,1.156,0
-0.044,-0.168,1.068,0
-0.045,-0.126,1.136,0
-0.044,-0.142,1.268,0
-0.032,-0.127,1.201,0
-0.048,-0.125,1.291,0
-0.032,-0.16,1.028,0
-0.049,-0.116,1.266,0
-0.046,-0.115,1.166,0
-0.046,-0.181,1.127,0
-0.044,-0.177,1.124,0
-0.047,-0.13,1.092,0
-0.036,-0.126,1.213,0
-0.042,-0.183,1.021,0
-0.032,-0.157,1.1,0
-0.041,-0.151,1.22,0
-0.041,-0.128,1.198,0
-0.047,-0.108,1.116,0
-0.046,-0.119,1.069,0
-0.045,-0.161,1.142,0
-0.044,-0.2,1.032,0
-0.032,-0.14,1.0,0
-0.048,-0.154,1.036,0
-0.035,-0.194,1.256,0
-0.037,-0.105,1.21,0
-0.037,-0.142,1.059,0
-0.046,-0.114,1.194,0
-0.04,-0.102,1.081,0
-0.03,-0.101,1.216,0
-0.048,-0.19,1.155,0
-0.043,-0.135,1.179,0
-0.043,-0.178,1.192,0
-0.032,-0.157,1.016,0
-0.046,-0.154,1.155,0
-0.035,-0.148,1.23,0
-0.034,-0.109,1.219,0
-0.046,-0.179,1.211,0
-0.049,-0.198,1.262,0
-0.035,-0.13,1.013,0
-0.037,-0.172,1.262,0
-0.034,-0.199,1.096,0
-0.044,-0.166,1.125,0
-0.044,-0.115,1.069,0
-0.043,-0.187,1.016,0
-0.04,-0.11,1.152,0
-0.034,-0.197,1.184,0
-0.032,-0.157,1.284,0
-0.002,-0.146,1.125,1
-0.031,-0.162,1.148,0
-0.031,-0.123,1.224,0
-0.049,-0.179,1.077,0
-0.05,-0.152,1.207,0
-0.032,-0.144,1.17,0
-0.034,-0.112,1.033,0
-0.041,-0.118,1.0,0
-0.048,-0.126,1.052,0
-0.035,-0.105,1.084,0
-0.033,-0.17,1.206,0
-0.048,-0.15,1.019,0
-0.038,-0.128,1.261,0
-0.033,-0.103,1.154,0
-0.04,-0.112,1.164,0
-0.041,-0.173,1.284,0
-0.039,-0.171,1.033,0
-0.044,-0.159,1.052,0
-0.049,-0.118,1.004,0
-0.038,-0.143,1.018,0
-0.045,-0.156,1.042,0
-0.046,-0.187,1.061,0
-0.045,-0.183,1.043,0
-0.039,-0.125,1.183,0
-0.037,-0.191,1.167,0
-0.046,-0.196,1.065,0
-0.041,-0.167,1.023,0
-0.046,-0.181,1.165,0
-0.038,-0.129,1.201,0
-0.043,-0.107,1.274,0
-0.037,-0.132,1.227,0
-0.04,-0.192,1.209,0
-0.049,-0.174,1.268,0
-0.03,-0.167,1.11,0
-0.033,-0.168,1.031,0
-0.042,-0.177,1.155,0
-0.043,-0.107,1.298,0
-0.036,-0.147,1.132,0
-0.031,-0.118,1.016,0
-0.036,-0.109,1.124,0
-0.035,-0.15,1.089,0
-0.031,-0.141,1.147,0
-0.049,-0.175,1.017,0
-0.04,-0.185,1.146,0
-0.045,-0.114,1.245,0
-0.043,-0.117,1.178,0
-0.048,-0.11,1.231,0
-0.031,-0.152,1.02,0
-0.044,-0.157,1.168,0
-0.046,-0.131,1.23,0
-0.05,-0.16,1.16,0
-0.035,-0.194,1.176,0
-0.039,-0.182,1.005,0
-0.034,-0.153,1.043,0
-0.036,-0.195,1.235,0
-0.033,-0.127,1.054,0
-0.031,-0.198,1.066,0
-0.027,-0.282,1.773,1
-0.048,-0.19,1.154,0
-0.04,-0.145,1.179,0
-0.039,-0.172,1.294,0
-0.038,-0.16,1.299,0
-0.044,-0.161,1.233,0
-0.038,-0.103,1.003,0
-0.043,-0.136,1.127,0
-0.04,-0.129,1.263,0
-0.036,-0.168,1.109,0
-0.032,-0.175,1.004,0
-0.049,-0.16,1.187,0
-0.047,-0.159,1.098,0
-0.043,-0.171,1.116,0
-0.048,-0.131,1.17,0
-0.042,-0.146,1.016,0
-0.033,-0.187,1.277,0
-0.046,-0.161,1.188,0
-0.037,-0.153,1.166,0
-0.048,-0.123,1.202,0
-0.042,-0.185,1.187,0
-0.031,-0.136,1.298,0
-0.037,-0.185,1.164,0
-0.047,-0.183,1.278,0
-0.031,-0.19,1.113,0
-0.047,-0.175,1.116,0
